Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Rally,Seed,Seed,"$6,000,000","Oct 26, 2021",Rally,Rally is a developer of a checkout payment software for modern brands.,"E-Commerce, Payments, Shopping, Software",—,"Portland, Oregon, United States, North America",www.rallyon.com,,"$18,000,000",Early Stage Venture,2,"Felix Capital, Rainfall Ventures",7
Seed Round - RushTix,Seed,Seed,"$750,000","Nov 1, 2021",RushTix,Developer of an AI-driven platform for interactive entertainment.,"Artificial Intelligence, Social Network, Video Streaming","Hispanic / Latine Founded, Hispanic / Latine Led, Women Founded, Women Led","San Francisco, California, United States, North America",rushtix.com,,"$1,910,000",Seed,6,—,—
Pre Seed Round - Global Pal,Pre-Seed,Seed,"$250,000","Nov 1, 2021",Global Pal,Social spending reimagined,FinTech,—,"Washington, District of Columbia, United States, North America",globalpal.app,,"$250,000",Seed,1,—,2
Seed Round - Ratio,Seed,Seed,"$4,300,000","Oct 28, 2021",Ratio,"Ratio is a fintech platform that provides customers with flexible payment options, simplifying the procurement process.","Finance, Financial Services, Funding Platform, Service Industry, Software",—,"San Mateo, California, United States, North America",www.ratiotech.com/,,"$415,300,000",—,3,Streamlined Ventures,1
Pre Seed Round - Champria,Pre-Seed,Seed,"$1,000,000","Oct 26, 2021",Champria,Website for amateur level esports teams to practice and track performance data.,—,—,"Albuquerque, New Mexico, United States, North America",champria.gg/,,"$1,000,000",Seed,1,"David Carrico, Gokul Rajaram, Kickstart",5
Seed Round - FloVision Solutions,Seed,Seed,"$1,100,000","Nov 8, 2021",FloVision Solutions,"FloVision Solutions is a food analytic platform that optimizes supplier comparative analysis, meal performance, and food wastage.","Analytics, Food and Beverage, Machine Learning, Software, Waste Management",—,"South Bend, Indiana, United States, North America",flovisionsolutions.com,,"$1,370,000",Seed,4,Underdog Labs,4
Seed Round - Darkblock,Seed,Seed,"$1,850,000","Oct 30, 2021",Darkblock,Darkblock enables access controls for NFT content creators.,"Blockchain, Computer, Software",—,"Washington, District of Columbia, United States, North America",www.darkblock.io/,,"$1,850,000",Seed,1,"A&T Capital, Greenfield",7
Seed Round - ScienceIO,Seed,Seed,"$8,000,000","Oct 13, 2021",ScienceIO,The data science company for healthcare,"Analytics, Health Care",—,"Boston, Massachusetts, United States, North America",www.science.io/,,"$8,000,000",Seed,2,—,25
Seed Round - OpenSponsorship,Seed,Seed,"$4,000,000","Oct 21, 2021",OpenSponsorship,"OpenSponsorship is online platform solely focused on allowing brands to Search, Connect and Sponsor opportunities within professional sports","Brand Marketing, Marketplace, Sponsorship, Sports","Women Founded, Women Led","New York, New York, United States, North America",www.opensponsorship.com,,"$5,225,000",—,5,David Blitzer,8
Pre Seed Round - QoreAI,Pre-Seed,Seed,"$250,000","Oct 15, 2021",QoreAI,QoreAI is PaaS that delivers an all-in-one communication solution for automotive dealerships,"Automotive, Software",—,"Orlando, Florida, United States, North America",www.QoreAI.com,,"$250,000",Seed,1,—,—
"Pre Seed Round - Kavi Virtual, Inc.",Pre-Seed,Seed,"$280,000","Nov 1, 2021","Kavi Virtual, Inc.","Kavi Virtual helps creators grow, manage, and monetize their audience across all platforms.",Information Technology,—,"San Francisco, California, United States, North America",holakavi.com/,,"$280,000",Seed,1,—,—
Pre Seed Round - Super Protocol,Pre-Seed,Seed,"$1,000,000","Nov 1, 2021",Super Protocol,Super Protocol is a Web-based confidential computing protocol.,"Big Data, Blockchain, Information Technology, Privacy, Security",—,"New York, New York, United States, North America",www.superprotocol.com,,"$3,200,000",Seed,2,—,—
Pre Seed Round - Tripsome,Pre-Seed,Seed,"AZN110,000","Nov 2, 2021",Tripsome,Tripsome is a leisure booking platform that matches users with the most relevant leisure options.,"Hospitality, Reservations, Ticketing, Tourism, Travel",—,"Middletown, Delaware, United States, North America",tripsome.com/en/,,"$119,675",Seed,2,—,—
Seed Round - Locale,Seed,Seed,"$2,000,000","Oct 19, 2021",Locale,"We partner with top Bay Area restaurants to bring you prepared meals that stay fresh all week. Delivered weekly, ready in minutes.","E-Commerce, Food Delivery, Grocery, Internet, Marketplace",—,"San Francisco, California, United States, North America",www.shoplocale.com,,"$16,125,000",Seed,3,—,5
Pre Seed Round - Kloudle,Pre-Seed,Seed,"$100,000","Nov 1, 2021",Kloudle,Kloudle - Digital Assets Security Automation Tool. Built to save the SREs from the toil of unplanned security work.,"Cloud Infrastructure, Cloud Security, Cyber Security, Software",South Asian Founded,"Wilmington, Delaware, United States, North America",kloudle.com,,"$700,000",Seed,2,Upekkha AI SaaS Fund and Accelerator,1
Seed Round - Intro,Seed,Seed,"$10,000,000","Oct 13, 2021",Intro,Intro is an application that connects users over a short video call and gets personalized advice.,"Advice, Apps, Video",—,"Los Angeles, California, United States, North America",intro.co,,"$10,000,000",Seed,1,Andreessen Horowitz,9
Seed Round - Elements,Seed,Seed,"$3,999,996","Oct 29, 2021",Elements,Elements provides financial advisers with the approach and resources they need to provide continuing value to their clients.,"Financial Services, FinTech",—,"South Jordan, Utah, United States, North America",getelements.com/,,"$3,999,996",Seed,1,—,1
Pre Seed Round - Little Bun,Pre-Seed,Seed,"$465,000","Oct 29, 2021",Little Bun,Consumer food,—,—,"New York, New York, United States, North America",eatlittlebun.com/,,"$465,000",Seed,2,—,2
Seed Round - Boomerang Medical,Seed,Seed,"$3,000,000","Oct 18, 2021",Boomerang Medical,Boomerang Medical is a bioelectronic medical enterprise.,"Biotechnology, Medical",—,"Mountain View, California, United States, North America",www.boomerangmedical.com,,"$18,000,000",Early Stage Venture,2,Arboretum Ventures,1
Seed Round - Phantasia Sports,Seed,Seed,"$1,850,000","Nov 1, 2021",Phantasia Sports,"Phantasia Sports is a blockchain-powered, peer-to-peer fantasy sports platform.","Blockchain, Fantasy Sports, Information Technology",—,"Chicago, Illinois, United States, North America",phantasia.app/,,"$1,850,000",Seed,1,—,4
Seed Round - DepoDirect,Seed,Seed,"$2,000,000","Nov 1, 2021",DepoDirect,SaaS Legal Deposition Management Platform,Software,—,"Los Angeles, California, United States, North America",depodirect.com,,"$2,000,000",Seed,1,Okapi Venture Capital,3
Pre Seed Round - Mark Labs,Pre-Seed,Seed,"$100,000","Nov 2, 2021",Mark Labs,"Mark Labs uses data analytics and AI to assess Environmental, Social, and Governance (ESG) risk and opportunity for sustainable investing","Analytics, Artificial Intelligence, FinTech, Software, Sustainability",—,"Washington, District of Columbia, United States, North America",www.marklabs.co,,"$220,000",Seed,6,"Northwestern Mutual, Northwestern Mutual Black Founder Accelerator",4
Pre Seed Round - CrossKudi,Pre-Seed,Seed,"$100,000","Nov 2, 2021",CrossKudi,A fee-free & blockchain-enabled international money transfer company.,"Blockchain, Cryptocurrency, Financial Services, FinTech",Black / African American Founded,"Wauwatosa, Wisconsin, United States, North America",crosskudi.com/,,"$125,000",Seed,5,"gener8tor, Northwestern Mutual",3
Pre Seed Round - Nimbus Healthcare,Pre-Seed,Seed,"$1,050,000","Oct 31, 2021",Nimbus Healthcare,The first digitally native multi-condition health platform-providing access to PERSONALIZED healthcare from start-to-finish.,Health Care,South Asian Founded,"Austin, Texas, United States, North America",www.nimbushealthcare.com,,"$1,300,000",Seed,2,—,—
Seed Round - BRIGHT,Seed,Seed,"$120,000","Nov 10, 2021",BRIGHT,"Consumer wellness device, memory, brain health, sleep, women's health","Biotechnology, Fitness, Health Care, Medical, Medical Device, Personal Health, Wellness","Women Founded, Women Led","New York, New York, United States, North America",GetMeBright.com/,,"$720,000",Seed,4,Techstars,1
Seed Round - Momentum,Seed,Seed,"$5,000,000","Nov 10, 2021",Momentum,Workflow automation platform built exclusively for revenue teams,"Apps, B2B, Information Services, Information Technology, SaaS, Sales, Sales Automation, Software","Hispanic / Latine Founded, Hispanic / Latine Led, South Asian Founded, South Asian Led, Women Founded, Women Led","San Francisco, California, United States, North America",www.momentum.io,,"$5,000,000",Seed,1,Basis Set Ventures,5
Pre Seed Round - ezClinic,Pre-Seed,Seed,"$150,000","Oct 15, 2021",ezClinic,SaaS - A.I. Predictive Patient Monitoring,"Health Care, Hospital, Medical, Medical Device, SaaS, Software",Hispanic / Latine Founded,"Chicago, Illinois, United States, North America",ez.clinic,,"$150,000",Seed,1,Jumpstart Foundry,2
Seed Round - Matchpoint Therapeutics,Seed,Seed,"$30,000,000","Nov 1, 2021",Matchpoint Therapeutics,"Matchpoint Therapeutics is a biotechnology company that integrates chemoproteomics, ML, and covalent chemistry to treat serious illnesses.","Biotechnology, Medical, Pharmaceutical",—,"Cambridge, Massachusetts, United States, North America",matchpointtx.com/,,"$100,000,000",Early Stage Venture,2,"Access Biotechnology, Atlas Venture",2
Pre Seed Round - SupplyNow,Pre-Seed,Seed,"$210,000","Oct 25, 2021",SupplyNow,Tech-enabled services that help solve supply-chain challenges for food-service distributors and their independent restaurant customers,"Food and Beverage, Logistics, Software, Supply Chain Management",—,"Cleveland, Ohio, United States, North America",www.supplynow.org,,"$840,000",Seed,4,—,1
Seed Round - Replai,Seed,Seed,"$4,700,000","Oct 13, 2021",Replai,Replai is an AI-driven creative intelligence platform.,"Artificial Intelligence, Computer Vision, Machine Learning, Mobile Apps, SaaS",—,"San Francisco, California, United States, North America",www.replai.io/,,"$6,000,000",Seed,2,—,7
Pre Seed Round - Groopit,Pre-Seed,Seed,"$2,000,000","Oct 27, 2021",Groopit,Groopit transforms how companies crowdsource and use intel from employees.,"Mobile, SaaS, Software","Women Founded, Women Led","Seattle, Washington, United States, North America",www.groopit.co/,,"$6,550,000",Seed,5,Ascend,10
Seed Round - Waterplan,Seed,Seed,"$2,600,000","Nov 4, 2021",Waterplan,Waterplan is a SaaS platform for companies to manage water availability in their facilities and supply chain.,"Information Technology, SaaS, Software",—,"San Francisco, California, United States, North America",www.waterplan.com/,,"$18,125,000",Early Stage Venture,4,Giant Ventures,15
Seed Round - qikfox,Seed,Seed,"$2,063,849","Oct 20, 2021",qikfox,"qikfox's mission is to make the internet safe, secure and private for consumers and businesses alike.","Cyber Security, Information Technology, Software",—,"San Mateo, California, United States, North America",qikfox.com/,,"$2,063,849",Seed,2,Draper Associates,1
Seed Round - SqlDBM,Seed,Seed,"$2,500,000","Oct 21, 2021",SqlDBM,SaaS: Online Database Modeling Tool,"Database, Information Technology, Internet, SaaS, Software",—,"San Diego, California, United States, North America",www.sqldbm.com,,"$2,500,000",Seed,1,CEAS Investments,1
Seed Round - Windsor.io,Seed,Seed,"$2,600,000","Oct 20, 2021",Windsor.io,Windsor brings AI and augmented media tech to video personalization,"Artificial Intelligence, Software","Black / African American Founded, Black / African American Led, Middle Eastern / North African Led, South Asian Founded, South Asian Led","San Francisco, California, United States, North America",windsor.io/,,"$3,100,000",Seed,4,Afore Capital,11
Seed Round - Ghost,Seed,Seed,"$5,000,000","Nov 1, 2021",Ghost,Ghost combines real-time data with intelligent solutions to help brands monetize their excess inventory discreetly and sustainably.,"Marketplace, Retail Technology, Software",—,"Los Angeles, California, United States, North America",ghst.io,,"$55,000,000",Early Stage Venture,5,—,3
Seed Round - Outbound AI,Seed,Seed,"$7,000,000","Oct 20, 2021",Outbound AI,Outbound AI is Conversation AI built for healthcare.,"Artificial Intelligence, Health Care, Information Technology, Medical, Software",—,"Seattle, Washington, United States, North America",outbound.ai,,"$23,000,000",Seed,2,—,6
Pre Seed Round - Viora Health,Pre-Seed,Seed,"$256,000","Oct 22, 2021",Viora Health,Viora Health is a digital health platform for individuals at risk for type two diabetes.,"Apps, Health Care, Wellness",—,"Philadelphia, Pennsylvania, United States, North America",viorahealth.com,,"$481,000",Seed,6,National Institutes of Health,1
Seed Round - Vertify,Seed,Seed,"$2,500,000","Nov 1, 2021",Vertify,"The RevOps Automation platform that lets you customize workflows, anyway you want.","Analytics, Data Integration, Marketing Automation, Predictive Analytics, Software",—,"Austin, Texas, United States, North America",vertify.com,,"$4,660,000",Seed,4,—,—
Seed Round - Adwisely,Seed,Seed,"$300,000","Oct 24, 2021",Adwisely,Easy & efficient online ads for eCommerce. We're a team of Ukrainians based all around the world. Adwisely grew from RetargetApp.,"Advertising, Big Data, Facebook, Google, Marketing, Marketing Automation, Social Media, Software",—,"Los Angeles, California, United States, North America",adwisely.com,,"$4,200,000",Seed,5,—,1
Seed Round - Uplinq,Seed,Seed,"$1,650,098","Oct 18, 2021",Uplinq,"Saas, Automated Bookkeeping, Financial Intelligence","Accounting, Business Intelligence, Financial Services, FinTech, Software",—,"Tempe, Arizona, United States, North America",uplinq.ai,,"$7,250,098",Seed,2,—,—
Pre Seed Round - Offsiter,Pre-Seed,Seed,"$450,000","Oct 31, 2021",Offsiter,Offsiter is a marketplace and planning platform that makes it easy to plan offsites.,—,—,"California, Kentucky, United States, North America",offsiter.com/,,"$450,000",Seed,1,Remote First Capital,1
Pre Seed Round - Monnai,Pre-Seed,Seed,"$1,000,000","Nov 1, 2021",Monnai,Monnai is the global consumer insight infrastructure for fintech.,"Financial Services, FinTech, Identity Management, Infrastructure, Lending, Real Time",—,"San Francisco, California, United States, North America",www.monnai.com,,"$10,650,000",Early Stage Venture,3,—,3
Seed Round - Sparrow Vision,Seed,Seed,"$4,093,325","Nov 1, 2021",Sparrow Vision,Sparrow provides personalized feedback on golf swing using its advanced AI technology.,"Artificial Intelligence, Golf, Sports",—,"New York, New York, United States, North America",www.sparrowup.com,,"$7,625,890",Seed,4,—,—
