Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Virridy,Seed,Seed,"$609,141","Mar 25, 2020",Virridy,"Virridy provides low-cost remote monitoring solutions for water, energy, and environmental projects in the global development setting.","Energy, Environmental Consulting, Environmental Engineering, Health Care, Water",—,"Portland, Oregon, United States, North America",virridy.com/,,"$9,897,428",Early Stage Venture,6,—,—
Seed Round - Fresh Agriculture Technologies,Seed,Seed,"$158,000","Apr 2, 2020",Fresh Agriculture Technologies,We provide agronomy support to every fruit grower in the world.,"Agriculture, AgTech, B2B, B2C, Farming",—,"Dover, Delaware, United States, North America",www.krops.co,,"$456,500",Seed,5,—,—
Pre Seed Round - CollectiveWeb,Pre-Seed,Seed,"$250,000","Apr 1, 2020",CollectiveWeb,Collaborative metaverse for business accessible via browser on any device,—,—,"San Francisco, California, United States, North America",collectiveweb.com,,"$1,100,000",Seed,2,—,—
Pre Seed Round - Seated,Pre-Seed,Seed,"$500,000","Mar 25, 2020",Seated,We make sure true fans get seated.,"Internet, Music, Sports, Ticketing",—,"New York, New York, United States, North America",www.seated.com,,"$1,160,000",M&A,3,—,1
Seed Round - Datch,Seed,Seed,"$3,200,000","May 7, 2020",Datch,Datch operates as an intelligent voice interface for industrial environments.,"Asset Management, B2B, Enterprise Resource Planning (ERP), Enterprise Software, Software",—,"San Francisco, California, United States, North America",www.datch.io,,"$16,195,000",Early Stage Venture,9,Blue Bear Capital,5
Seed Round - MoryaSara Health,Seed,Seed,"$50,000","May 4, 2020",MoryaSara Health,Moryasara Health is a platform for seniors to pair patient care and home care services for a positive outcome.,"Elder Care, Health Care, Home Health Care, Medical, Mobile Apps, Software",Women Founded,"Pleasanton, California, United States, North America",moryasara.com,,"$130,000",Seed,3,Family & Friends,1
Seed Round - Stilt,Seed,Seed,"$7,500,000","May 7, 2020",Stilt,"Stilt offers financial services for immigrants, visa holders, and the underserved.","Financial Services, FinTech, Lending, Personal Finance",—,"San Francisco, California, United States, North America",www.stilt.com,,"$338,776,049",M&A,11,—,10
Pre Seed Round - Thermaband,Pre-Seed,Seed,"$750,000","Apr 1, 2020",Thermaband,Thermaband is a health and wellness company empowering menopausal women with personal comfort on demand through a cooling/warming wearable.,"Consumer Electronics, Health Care, Wearables, Wellness","Black / African American Founded, Women Founded, Women Led","Miami, Florida, United States, North America",thermaband.com,,"$1,400,000",Seed,4,—,3
Pre Seed Round - Puro Lighting,Pre-Seed,Seed,"$1,600,000","Mar 23, 2020",Puro Lighting,Unleash the power of technology and innovation in light to make spaces safer and healthier for all.,—,—,"Denver, Colorado, United States, North America",purolighting.com,,"$6,600,000",Seed,2,—,—
Pre Seed Round - Layla Wellness,Pre-Seed,Seed,"$20,000","Apr 25, 2020",Layla Wellness,Layla is a fertility monitoring company that predicts the fertile window with an intravaginal ring and mobile app.,"Fertility, Medical Device, Mobile Apps, Personal Health, Women's","Women Founded, Women Led","Salt Lake City, Utah, United States, North America",www.laylawellness.com,,"$408,000",Seed,10,—,1
